,일시,count,사고번호,사망자수,중상자수,경상자수,부상신고자수,사상자합계
158,2022-04-23,3,6066126900300656,0,2,2,2,0.2538
214,2022-04-24,2,4044084800200288,0,0,3,0,0.020399999999999998
216,2022-04-25,2,4044085000200396,0,0,2,0,0.0136
153,2022-04-26,3,6066127800300650,0,0,2,3,0.0235
32,2022-04-27,5,10110213500501634,0,0,4,2,0.0338
219,2022-04-28,2,4044085600200519,1,0,0,1,1.0033
327,2022-04-29,1,2022042900100226,0,1,0,0,0.1168
321,2022-04-30,1,2022043000100168,0,0,2,1,0.0169
220,2022-05-01,2,4044100200200697,0,0,0,4,0.0132
152,2022-05-02,3,6066150600300536,0,1,2,0,0.1304
44,2022-05-03,5,10110251500501313,0,0,8,0,0.0544
64,2022-05-04,4,8088201600402629,0,1,2,1,0.1337
328,2022-05-05,1,2022050500100018,1,1,0,0,1.1168
330,2022-05-06,1,2022050600100609,0,1,0,0,0.1168
154,2022-05-07,3,6066152100300860,0,0,1,7,0.0299
155,2022-05-08,3,6066152400300891,0,0,6,0,0.040799999999999996
67,2022-05-09,4,8088203600401020,0,0,4,0,0.0272
37,2022-05-11,5,10110255500501905,0,1,5,1,0.15410000000000001
148,2022-05-12,3,6066153600300848,0,2,3,0,0.254
68,2022-05-13,4,8088205200400950,0,0,4,1,0.0305
200,2022-05-14,2,4044102800201113,0,0,2,0,0.0136
34,2022-05-16,5,10110258000501517,0,0,4,1,0.0305
86,2022-05-17,4,8088206800401707,0,1,3,0,0.1372
97,2022-05-18,3,6066155400301049,0,0,3,0,0.020399999999999998
102,2022-05-19,3,6066155700301483,0,1,1,1,0.1269
92,2022-05-20,3,6066156000300973,0,2,2,0,0.2472
226,2022-05-21,2,4044104200200163,0,2,2,0,0.2472
95,2022-05-22,3,6066156600301063,0,2,2,0,0.2472
66,2022-05-23,4,8088209200401530,0,1,2,1,0.1337
225,2022-05-24,2,4044104800200561,0,0,2,0,0.0136
65,2022-05-25,4,8088210000400601,0,1,3,0,0.1372
224,2022-05-26,2,4044105200200237,0,2,0,1,0.2369
123,2022-05-27,3,6066158100301476,0,1,2,0,0.1304
331,2022-05-28,1,2022052800100377,0,0,0,1,0.0033
223,2022-05-29,2,4044105800200176,0,0,5,0,0.033999999999999996
222,2022-05-30,2,4044106000200413,0,1,2,0,0.1304
221,2022-05-31,2,4044106200200928,0,1,1,1,0.1269
2,2022-06-01,8,16176480800801634,2,4,1,1,2.4773
63,2022-06-02,4,8088240800400881,0,1,7,5,0.18089999999999998
107,2022-06-03,3,6066180900301075,0,0,3,1,0.0237
62,2022-06-04,4,8088241600401996,1,2,2,1,1.2505
218,2022-06-05,2,4044121000200489,0,0,5,0,0.033999999999999996
217,2022-06-06,2,4044121200200744,0,1,1,1,0.1269
110,2022-06-07,3,6066182100301050,0,1,1,1,0.12689999999999999
215,2022-06-08,2,4044121600200897,0,1,1,0,0.1236
61,2022-06-09,4,8088243600400673,0,3,1,2,0.3638
60,2022-06-10,4,8088244000400726,0,2,4,0,0.2608
53,2022-06-11,4,8088244400400906,0,1,3,0,0.1372
332,2022-06-12,1,2022061200100213,0,0,0,1,0.0033
113,2022-06-14,3,6066184200301146,0,1,2,0,0.1304
57,2022-06-16,4,8088246400400940,0,0,3,1,0.0237
115,2022-06-17,3,6066185100301176,0,0,2,2,0.0202
14,2022-06-18,7,14154432600701803,0,3,4,4,0.39080000000000004
209,2022-06-19,2,4044123800200568,0,1,1,0,0.1236
208,2022-06-20,2,4044124000200606,0,1,1,0,0.1236
121,2022-06-21,3,6066186300301191,0,0,2,1,0.0169
28,2022-06-22,5,10110311000501176,0,0,2,4,0.026799999999999997
55,2022-06-23,4,8088249200401003,0,0,6,1,0.0441
51,2022-06-24,4,8088249600400816,0,2,4,2,0.2674
29,2022-06-25,5,10110312500502281,0,0,5,2,0.0406
47,2022-06-26,4,8088250400400683,0,1,4,0,0.144
333,2022-06-27,1,2022062700100542,0,1,0,1,0.1201
50,2022-06-28,4,8088251200400800,0,3,4,0,0.3776
27,2022-06-29,5,10110314500501648,0,3,2,0,0.364
17,2022-06-30,6,12132378000602091,0,1,8,3,0.18109999999999998
203,2022-07-01,2,4044140200200927,0,2,3,1,0.2573
334,2022-07-02,1,2022070200100358,0,3,0,0,0.3504
48,2022-07-03,4,8088281200401205,0,0,3,6,0.0402
228,2022-07-04,2,4044140800200143,0,0,2,1,0.0169
49,2022-07-05,4,8088282000401189,0,2,3,0,0.254
335,2022-07-06,1,2022070600100402,0,0,0,1,0.0033
36,2022-07-07,5,10110353500502061,0,3,2,0,0.364
244,2022-07-08,2,4044141600200267,0,0,2,0,0.0136
242,2022-07-09,2,4044141800200925,0,0,2,1,0.0169
329,2022-07-11,1,2022071100100514,0,1,0,0,0.1168
114,2022-07-12,3,6066213600300782,1,0,0,4,1.0132
69,2022-07-13,4,8088285200401175,0,1,1,2,0.1302
239,2022-07-14,2,4044142800200477,0,0,1,1,0.0101
59,2022-07-15,4,8088286000401121,0,2,2,0,0.2472
238,2022-07-16,2,4044143200200682,0,2,2,0,0.24719999999999998
229,2022-07-17,2,4044143400200513,0,0,3,0,0.020399999999999998
236,2022-07-18,2,4044143600200997,0,0,2,0,0.0136
93,2022-07-19,3,6066215700300775,0,2,1,0,0.2404
94,2022-07-20,3,6066216000300514,0,0,3,0,0.020399999999999998
41,2022-07-21,5,10110360500501660,0,0,3,5,0.0369
43,2022-07-22,5,10110361000501179,0,1,4,1,0.1473
235,2022-07-23,2,4044144600200489,0,1,1,0,0.1236
234,2022-07-24,2,4044144800200700,0,0,3,1,0.0237
319,2022-07-25,1,2022072500100498,0,0,1,0,0.0068
109,2022-07-26,3,6066217800300747,0,0,4,0,0.0272
311,2022-07-27,1,2022072700100461,0,1,0,0,0.1168
318,2022-07-28,1,2022072800100172,0,1,0,0,0.1168
