사고일시,요일,시군구,요일_label,노면상태,노면상태_label,기상상태,도로형태,기상상태_label,도로형태_label,사상자합계
2022년 6월 4일 22시,토요일,세종특별자치시 금남면,6,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 4일 23시,토요일,세종특별자치시 소담동,6,건조,0,맑음,교차로 - 교차로안,0,0,3
2022년 6월 4일 23시,토요일,세종특별자치시 나성동,6,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 6월 5일 14시,일요일,세종특별자치시 조치원읍,0,젖음/습기,1,비,단일로 - 기타,4,1,1
2022년 6월 5일 16시,일요일,세종특별자치시 전의면,0,젖음/습기,1,비,단일로 - 기타,4,1,4
2022년 6월 6일 16시,월요일,세종특별자치시 어진동,1,건조,0,맑음,교차로 - 교차로부근,0,4,2
2022년 6월 6일 20시,월요일,세종특별자치시 소담동,1,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 7일 09시,화요일,세종특별자치시 장군면,5,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 7일 17시,화요일,세종특별자치시 대평동,5,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 7일 19시,화요일,세종특별자치시 조치원읍,5,젖음/습기,1,비,단일로 - 기타,4,1,1
2022년 6월 8일 17시,수요일,세종특별자치시 도담동,2,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 8일 19시,수요일,세종특별자치시 소정면,2,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 9일 00시,목요일,세종특별자치시 어진동,3,건조,0,맑음,단일로 - 기타,0,1,2
2022년 6월 9일 08시,목요일,세종특별자치시 새롬동,3,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 9일 13시,목요일,세종특별자치시 연기면,3,건조,0,맑음,단일로 - 교량,0,9,2
2022년 6월 9일 14시,목요일,세종특별자치시 아름동,3,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 10일 00시,금요일,세종특별자치시 고운동,4,건조,0,맑음,단일로 - 기타,0,1,3
2022년 6월 10일 09시,금요일,세종특별자치시 조치원읍,4,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 10일 10시,금요일,세종특별자치시 고운동,4,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 6월 10일 15시,금요일,세종특별자치시 아름동,4,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 11일 02시,토요일,세종특별자치시 나성동,6,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 11일 09시,토요일,세종특별자치시 부강면,6,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 11일 12시,토요일,세종특별자치시 조치원읍,6,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 11일 18시,토요일,세종특별자치시 한솔동,6,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 6월 12일 14시,일요일,세종특별자치시 아름동,0,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 6월 14일 11시,화요일,세종특별자치시 조치원읍,5,건조,0,흐림,교차로 - 교차로안,1,0,1
2022년 6월 14일 14시,화요일,세종특별자치시 조치원읍,5,젖음/습기,1,흐림,교차로 - 교차로부근,1,4,1
2022년 6월 14일 22시,화요일,세종특별자치시 도담동,5,젖음/습기,1,비,교차로 - 교차로횡단보도내,4,7,1
2022년 6월 16일 04시,목요일,세종특별자치시 조치원읍,3,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 16일 08시,목요일,세종특별자치시 아름동,3,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 6월 16일 13시,목요일,세종특별자치시 세종동,3,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 6월 16일 18시,목요일,세종특별자치시 나성동,3,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 6월 17일 15시,금요일,세종특별자치시 도담동,4,건조,0,맑음,기타 - 기타,0,2,1
2022년 6월 17일 16시,금요일,세종특별자치시 고운동,4,건조,0,맑음,단일로 - 기타,0,1,2
2022년 6월 17일 17시,금요일,세종특별자치시 도담동,4,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 18일 03시,토요일,세종특별자치시 조치원읍,6,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 18일 05시,토요일,세종특별자치시 소담동,6,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 18일 12시,토요일,세종특별자치시 부강면,6,건조,0,맑음,단일로 - 기타,0,1,2
2022년 6월 18일 12시,토요일,세종특별자치시 다정동,6,건조,0,맑음,교차로 - 교차로안,0,0,3
2022년 6월 18일 13시,토요일,세종특별자치시 어진동,6,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 18일 17시,토요일,세종특별자치시 어진동,6,건조,0,맑음,교차로 - 교차로부근,0,4,2
2022년 6월 18일 19시,토요일,세종특별자치시 나성동,6,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 19일 16시,일요일,세종특별자치시 아름동,0,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 19일 17시,일요일,세종특별자치시 장군면,0,건조,0,맑음,기타 - 기타,0,2,1
2022년 6월 20일 08시,월요일,세종특별자치시 조치원읍,1,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 6월 20일 17시,월요일,세종특별자치시 연서면,1,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 21일 12시,화요일,세종특별자치시 나성동,5,건조,0,맑음,단일로 - 터널,0,6,1
2022년 6월 21일 16시,화요일,세종특별자치시 다정동,5,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 6월 21일 21시,화요일,세종특별자치시 다정동,5,건조,0,기타,기타 - 기타,3,2,1
2022년 6월 22일 02시,수요일,세종특별자치시 어진동,2,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 22일 08시,수요일,세종특별자치시 아름동,2,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 22일 09시,수요일,세종특별자치시 금남면,2,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 22일 15시,수요일,세종특별자치시 나성동,2,건조,0,맑음,단일로 - 기타,0,1,1
2022년 6월 22일 17시,수요일,세종특별자치시 어진동,2,건조,0,맑음,교차로 - 교차로부근,0,4,2
